method,m,l2_penalty,image,per_pixel_error,latent_norm
vae-20,25,0.1,6,0.02753038126461315,4.160221576690674
vae-20,25,0.1,7,0.0024175007346718767,3.1086928844451904
vae-20,25,0.1,8,0.03380038676479863,4.054002285003662
vae-20,25,0.1,9,0.0071229511494399446,4.0785322189331055
vae-20,25,1.0,0,0.00925728586390968,2.1512978076934814
vae-20,25,1.0,1,0.06165428127677695,2.569577693939209
vae-20,25,1.0,2,0.0360844120114331,2.492445230484009
vae-20,25,1.0,3,0.016673845764949152,2.599395751953125
vae-20,25,1.0,4,0.007613051315950977,1.6181310415267944
vae-20,25,1.0,5,0.024148293107171377,2.985217332839966
vae-20,25,1.0,6,0.03251541557934692,2.690823554992676
vae-20,25,1.0,7,0.004732281152212798,2.0333285331726074
vae-20,25,1.0,8,0.03295052257918306,2.7085742950439453
vae-20,25,1.0,9,0.03782887696092161,2.254844903945923
vae-30,25,0.0,0,0.004835554217249028,13.975297927856445
vae-30,25,0.0,1,0.04873727560751125,14.122313499450684
vae-30,25,0.0,2,0.02973485711046508,10.6834716796875
vae-30,25,0.0,3,0.019389040575521734,11.680351257324219
vae-30,25,0.0,4,0.0832570215956977,13.158818244934082
vae-30,25,0.0,5,0.019797441268317575,10.275555610656738
vae-30,25,0.0,6,0.0454546536812492,13.357836723327637
vae-30,25,0.0,7,0.005961847037960463,9.24736213684082
vae-30,25,0.0,8,0.0458827131068471,9.897165298461914
vae-30,25,0.0,9,0.022184636034433058,8.529112815856934
vae-30,25,0.01,0,0.003272256803124329,5.253983974456787
vae-30,25,0.01,1,0.05051071606149634,10.060636520385742
vae-30,25,0.01,2,0.029272632440803702,6.9519548416137695
vae-30,25,0.01,3,0.007392938247639973,4.247233867645264
vae-30,25,0.01,4,0.0839199394100661,8.719354629516602
vae-30,25,0.01,5,0.020687953621397037,7.577099800109863
vae-30,25,0.01,6,0.04743390909880982,9.282310485839844
vae-30,25,0.01,7,0.005348036343471789,5.574530124664307
vae-30,25,0.01,8,0.046023761815565424,7.77080774307251
vae-30,25,0.01,9,0.02223381711041363,5.763687610626221
