better,worse,m,mean_error_better,mean_error_worse,mean_difference,wins,n,p_wilcoxon,p_ttest,p_holm,significant,verdict
fcvae-20,vae-20,100,0.008292401977694002,0.008269784632219281,-2.2617345474719918e-05,3,10,0.76953125,0.9671515713813821,1.0,False,ns
fcvae-20,vae-20,200,0.0075065803850181394,0.00792102956781118,0.00041444918279304,5,10,0.375,0.31847011833073796,1.0,False,ns
fcvae-20,vae-20,300,0.0071705362729180796,0.00759974772328559,0.00042921145036750976,5,10,0.375,0.2832460804537601,1.0,False,ns
fcvae-20,vae-20,400,0.007245925083410751,0.00756136724235148,0.0003154421589407299,5,10,0.431640625,0.39379317566909566,1.0,False,ns
fcvae-20,vae-20,500,0.007233796938676559,0.007630136053817138,0.00039633911514058,6,10,0.322265625,0.3155269658738281,1.0,False,ns
fcvae-20,vae-20,750,0.00698345743043618,0.00745758173998168,0.0004741243095454999,5,10,0.375,0.24162579865107953,1.0,False,ns
fcvae-20,vae-30,10,0.06799476685278144,0.07551506774080176,0.007520300888020322,6,10,0.375,0.32507556309367464,1.0,False,ns
fcvae-20,vae-30,25,0.027607125769522827,0.01937793318413377,-0.00822919258538906,6,10,0.6953125,0.5827053896460279,1.0,False,ns
fcvae-20,vae-30,50,0.011754778665881819,0.01907752949924998,0.00732275083336816,6,10,0.275390625,0.14427968388327375,1.0,False,ns
fcvae-20,vae-30,75,0.008428177901947689,0.00914920292434349,0.0007210250223958003,5,10,0.431640625,0.5077514843300666,1.0,False,ns
fcvae-20,vae-30,100,0.008292401977694002,0.00774840250367387,-0.00054399947402013,4,10,0.322265625,0.38095057427141066,1.0,False,ns
fcvae-20,vae-30,200,0.0075065803850181394,0.00722789395702841,-0.00027868642798973013,3,10,0.322265625,0.5077482944940074,1.0,False,ns
fcvae-20,vae-30,300,0.0071705362729180796,0.00714093063922198,-2.9605633696099974e-05,2,10,0.322265625,0.9346001041844444,1.0,False,ns
fcvae-20,vae-30,400,0.007245925083410751,0.007030979950689381,-0.00021494513272137002,2,10,0.275390625,0.6075227686865398,1.0,False,ns
fcvae-20,vae-30,500,0.007233796938676559,0.00710103302363536,-0.0001327639150411998,2,10,0.322265625,0.6844533346951023,1.0,False,ns
fcvae-20,vae-30,750,0.00698345743043618,0.006921578497710179,-6.187893272600001e-05,3,10,0.375,0.8539068853796532,1.0,False,ns
fcvae-20,dcgan-20,10,0.06799476685278144,0.09889648155165433,0.030901714698872894,9,10,0.013671875,0.011627891447854153,0.095703125,False,ns
fcvae-20,dcgan-20,25,0.027607125769522827,0.05709462713439238,0.02948750136486956,8,10,0.083984375,0.0795465807200143,0.1953125,False,ns
fcvae-20,dcgan-20,50,0.011754778665881819,0.042669246704534806,0.03091446803865299,9,10,0.00390625,0.011560078145240382,0.0390625,True,better
fcvae-20,dcgan-20,75,0.008428177901947689,0.024500759376161065,0.016072581474213372,9,10,0.005859375,0.14045998896973438,0.052734375,False,ns
fcvae-20,dcgan-20,100,0.008292401977694002,0.01358619196023296,0.005293789982538959,9,10,0.009765625,0.0373047445007751,0.078125,False,ns
fcvae-20,dcgan-20,200,0.0075065803850181394,0.01056707624039083,0.0030604958553726905,8,10,0.02734375,0.044208942506768226,0.1640625,False,ns
fcvae-20,dcgan-20,300,0.0071705362729180796,0.01050411925691675,0.00333358298399867,8,10,0.048828125,0.07398786643238198,0.1953125,False,ns
fcvae-20,dcgan-20,400,0.007245925083410751,0.01005047129030314,0.00280454620689239,8,10,0.037109375,0.048222916387951766,0.185546875,False,ns
fcvae-20,dcgan-20,500,0.007233796938676559,0.00935977187206381,0.00212597493338725,8,10,0.048828125,0.06673312508983642,0.1953125,False,ns
fcvae-20,dcgan-20,750,0.00698345743043618,0.00938709450791551,0.0024036370774793295,8,10,0.048828125,0.05288484893550439,0.1953125,False,ns
fcvae-20,dcgan-30,10,0.06799476685278144,0.07311312069112982,0.00511835383834838,5,10,0.6953125,0.6173785499061417,0.6953125,False,ns
fcvae-20,dcgan-30,25,0.027607125769522827,0.04592288390687731,0.01831575813735447,9,10,0.083984375,0.1409341980608364,0.16796875,False,ns
fcvae-20,dcgan-30,50,0.011754778665881819,0.034570850645362236,0.022816071979480417,10,10,0.001953125,0.004346959926491374,0.01953125,True,better
